Entity,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Guam,416003,151,2754.9867549668875,1761,3763,231968.9198233994,481.6315187188224,2276,-0.5354331946440767,180612,151,1196.1059602649007,407,2086,365089.97536423826,604.226758232568,466,-1.6795699805072122
Guatemala,47932094,151,317431.0860927152,157067,422285,4724792861.705874,68737.12869843979,No Mode,-0.7337425570779863,22454149,151,148702.97350993377,73110,328384,7859026902.665957,88651.15285581996,No Mode,-0.6359943069077842
Guernsey,84233,151,557.8344370860927,421,751,10155.325739514394,100.77363613323871,517,-1.296643770632488,98020,151,649.1390728476821,396,827,11072.73386313467,105.22705860725496,589,-1.0139459497887677
Guinea,59931284,151,396895.92052980134,136489,531187,17817915128.740314,133483.76353976657,No Mode,-1.0430935581305976,27385015,151,181357.71523178808,88061,387811,7634432404.685036,87375.23908227682,122426,-0.2537139637837176
Guinea-Bissau,8346919,151,55277.60927152318,21984,71143,279577525.3063135,16720.571919235106,No Mode,-0.681732150154009,3825501,151,25334.443708609273,13456,52898,137612679.28847682,11730.843076628245,20167,-0.20728464311800732
Guyana,2551062,151,16894.450331125827,9077,26080,28060764.422516484,5297.241208640256,16485,-1.2026619791695368,1202811,151,7965.635761589404,5825,11376,3510850.673112584,1873.7264136240872,5830,-1.0895906614153918
Haiti,33564574,151,222281.94701986754,151714,271900,1251529625.3438392,35376.964614616656,No Mode,-1.2130211955387555,18721093,151,123980.74834437086,81918,202362,2008243049.7629137,44813.42488320787,No Mode,-1.1683020194976514
High-income countries,1949953592,151,12913599.947019868,11058189,16987174,3687896926705.9062,1920389.7850972614,No Mode,-0.753148333401727,1761990167,151,11668809.052980132,7317391,15210176,7869032819715.443,2805179.6412556972,No Mode,-1.6531805614424755
Honduras,28522611,151,188891.46357615895,81841,234594,1753285096.210331,41872.24732696265,No Mode,0.23210530793048179,12267010,151,81238.47682119206,34118,187764,2858166161.4644594,53461.81966099227,No Mode,-0.871972174014009
Hong Kong,7087835,151,46939.30463576159,5667,153353,1212769704.9732454,34824.843215343346,No Mode,-0.5326667153871409,8918817,151,59065.013245033115,12135,104119,944390918.9598233,30730.9439972127,19657,-1.4878663886371193
Hungary,15275688,151,101163.49668874172,63708,222673,1470155799.3716552,38342.61075320322,No Mode,0.7185582566754571,18279002,151,121052.99337748345,90247,158980,271007376.31328905,16462.30167119073,No Mode,-0.7463425994375288
Iceland,591265,151,3915.662251655629,2673,5066,385082.7984988947,620.5503996444565,4062,-0.9226758853372554,456560,151,3023.5761589403974,1063,5394,2168542.5658278125,1472.5972177848946,1733,-1.5179738229080844
India,3157815198,151,20912683.430463575,13154703,29324930,23028075399887.39,4798757.693391842,No Mode,-1.170846293497994,1957131123,151,12961133.264900662,7852219,21060120,22026356538367.42,4693224.535260105,No Mode,-1.2155681463973684
Indonesia,618195027,151,4094006.8013245035,2783163,5157679,484923068403.04065,696364.1780010231,No Mode,-1.2276037247205913,388936599,151,2575739.0662251655,1435160,3943967,990812807669.715,995395.8045268802,No Mode,-1.679023246445506
Iran,166887971,151,1105218.3509933774,613421,2102014,131430122010.12268,362532.9254152272,No Mode,0.8559382742224466,107572581,151,712401.1986754967,328003,1351892,124275213514.2936,352526.8975756227,No Mode,-1.235719608274323
Iraq,150373809,151,995853.0397350993,220687,1348973,141703807341.85175,376435.66162340646,No Mode,-0.9415921144537789,53844961,151,356589.1456953642,102086,981808,73713786985.44527,271502.8305293432,No Mode,-0.4679716098848017
Ireland,8690653,151,57553.99337748344,43347,76014,64338822.49995581,8021.148452681562,No Mode,-0.6616497116357092,6845322,151,45333.258278145695,27583,68826,219647425.72618094,14820.50693215927,33121,-1.5834271876501316
Isle of Man,103373,151,684.5894039735099,438,954,22918.963620309107,151.39010410297334,692,-0.8732133367784893,143102,151,947.6953642384105,794,1111,9711.759911699792,98.54826184007403,814,-1.3433821600819174
Israel,24084380,151,159499.20529801326,47508,228354,3831090976.7375693,61895.80742455477,No Mode,-1.273471219164489,9200017,151,60927.26490066225,7418,144788,1483217889.4893606,38512.56794202849,No Mode,-1.0211994260746784
Italy,74192141,151,491338.6821192053,249015,1006349,49552567635.484856,222604.06024033987,No Mode,-0.4512791819303832,92661715,151,613653.7417218543,442400,805985,10360277298.699512,101785.44738173288,No Mode,-1.0477729585966316
Jamaica,5344267,151,35392.496688741725,7103,67860,462265222.4516558,21500.354007589172,No Mode,-1.5700572719836443,3755943,151,24873.794701986753,14886,37294,62780862.89757178,7923.437568225788,15025,-1.5174257431891562
Japan,158491383,151,1049611.8079470198,558209,2461534,234789199896.00986,484550.5132553363,No Mode,-0.19613714850628616,176766681,151,1170640.2715231788,694626,1648499,109525522653.75906,330946.4045034468,No Mode,-1.506628148520585
Jersey,139777,151,925.6754966887418,807,1239,10006.860662251685,100.03429742969001,851,0.5761801863997276,158698,151,1050.9801324503312,707,1395,48290.49960264892,219.7509945430257,1154,-1.4755573812543161
Jordan,27298284,151,180783.33774834438,20464,253565,5265284648.131837,72562.28116681446,No Mode,-0.6282690570258063,10146663,151,67196.44370860927,10867,199572,3554122253.7018085,59616.45958711242,13312,-0.7810212305944022
Kazakhstan,58109831,151,384833.3178807947,239063,459460,3105652190.818271,55728.37868463671,No Mode,0.23225252456392464,28392345,151,188028.7748344371,101351,308708,3146388846.175629,56092.68086101456,No Mode,-1.1514492496516004
Kenya,186497741,151,1235084.3774834438,284634,1665419,176289770282.86322,419868.7536395906,No Mode,-0.48419041923552353,79881163,151,529014.3245033113,143791,1223420,126153692500.79399,355181.2107935807,No Mode,-1.0013105976926444
Kiribati,447527,151,2963.754966887417,1641,3556,290186.9862251658,538.6900650886053,2833,-0.5656955811165272,195166,151,1292.4900662251655,629,2569,387833.7582339955,622.7630032636778,914,-0.9934552669007353
Kosovo,4078298,151,27008.596026490068,7455,61192,286892544.3357168,16937.90259553162,No Mode,-1.2096381358877335,2414915,151,15992.814569536424,9265,21556,13891298.978719661,3727.103295955139,17730,-1.1937228676145824
Kuwait,8699187,151,57610.50993377483,6827,105331,565971936.838235,23790.164708093867,No Mode,-0.20633248002084104,1746452,151,11565.907284768213,2424,31196,65688328.83134659,8104.833670800814,2462,-0.7321202862823877
Kyrgyzstan,20275656,151,134275.86754966888,63715,172605,612786065.5823401,24754.51606439399,No Mode,0.3251251806867326,9292733,151,61541.27814569537,33300,121528,750673314.015453,27398.41809330336,36438,-0.9477363769548219
Laos,20277003,151,134284.7880794702,81154,193171,992036755.8881252,31496.614990949824,No Mode,-1.224594462484275,10903020,151,72205.43046357617,40405,123440,760935811.4867996,27585.065007840738,No Mode,-0.920710123167992
Latin America and the Caribbean (UN),1326453322,151,8784459.086092716,5130844,12027805,4686574459868.392,2164849.754571525,No Mode,-1.2829077571223608,813610614,151,5388149.761589404,2889061,8992811,5732877729757.997,2394342.859691986,No Mode,-1.553132614818875
Latvia,2900500,151,19208.60927152318,6321,41179,118963932.14631337,10907.058821988327,8855,-1.193095058792396,3860748,151,25567.867549668874,15730,41993,31765137.0356733,5636.056869449891,No Mode,-0.3341228614559282
Least developed countries,4868077681,151,32238925.0397351,9398840,44575590,146344452630294.38,12097291.127781227,No Mode,-1.235808675471147,1839475060,151,12181954.0397351,5498965,29177124,45290800503430.79,6729844.017763769,No Mode,0.02263509321457713
Lebanon,12856834,151,85144.59602649006,55544,126567,164726438.36238426,12834.57978908481,No Mode,0.26943098335821647,6588471,151,43632.258278145695,17941,88454,520914719.84618074,22823.556248888577,18878,-1.2096902720387652
Lesotho,7460937,151,49410.17880794702,25260,65296,91851231.61448133,9583.904820817104,55728,-0.4366764132291969,4128272,151,27339.549668874173,12574,41696,86548164.40918317,9303.126593204199,24959,-1.2782466252375637
