Entity,Data_Type,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Central African Republic,Projection,22683723,77,294593.8051948052,246241,315113,259133084.71155313,16097.611149221897,No Mode,0.5957604121807525,7704721,77,100061.31168831169,50000,185093,1697482885.4015715,41200.520450615324,No Mode,-0.958311029411516
Chad,Estimate,25989780,74,351213.24324324325,118651,819054,45362774552.24139,212985.38577151575,No Mode,-0.830921698983115,9454711,74,127766.36486486487,74173,216831,2242008777.193817,47349.85509158204,No Mode,-1.1416308026820379
Chad,Projection,87269227,77,1133366.5844155843,878222,1220596,10046919830.719744,100234.32461347632,No Mode,-0.035406425793143015,36528404,77,474394.85714285716,224900,805330,29858345343.22932,172795.67512883336,No Mode,-1.133308674241237
Chile,Estimate,19372504,74,261790.5945945946,176196,297949,820036631.5320234,28636.2817337032,No Mode,1.0343195167785582,6526960,74,88202.16216216216,69114,148947,339256065.15142536,18418.905101862743,No Mode,2.525088407985614
Chile,Projection,9591892,77,124570.02597402598,80094,172406,841690089.7098434,29011.895658674966,No Mode,-1.3977059991624392,17099130,77,222066.62337662338,130049,271659,1995506160.9220765,44671.08864715607,No Mode,-0.888687187756604
China,Estimate,1598415700,74,21600212.162162162,8899881,33461050,29672974614791.793,5447290.575579,No Mode,-0.3949288280879282,701713453,74,9482614.22972973,7451333,19506194,4885181419917.492,2210244.6515979837,No Mode,5.225287268979081
China,Projection,453964371,77,5895641.181818182,3099844,8822056,4179743186879.709,2044442.023359848,No Mode,-1.5109921955272072,1234758994,77,16035831.090909092,11482042,18796522,4704819312951.291,2169059.545736652,No Mode,-0.9002651210751527
Colombia,Estimate,57007910,74,770377.1621621621,546443,912584,7467160771.534983,86412.73500783888,No Mode,-0.10610208203574212,15187587,74,205237.66216216216,159212,402786,1695028641.076084,41170.72553497308,No Mode,7.389955250218083
Colombia,Projection,38681050,77,502351.2987012987,358954,700784,9454008181.054338,97231.7241493451,No Mode,-1.0035843694678546,45670970,77,593129.4805194805,289098,768782,23323616126.147625,152720.7128262163,No Mode,-1.0379882229432833
Comoros,Estimate,1225896,74,16566.162162162163,7283,24366,29029814.85005552,5387.932335326374,No Mode,-1.3285456771037745,404173,74,5461.7972972972975,4144,6489,232966.7665679373,482.6663097502635,5659,-0.2278560307815236
Comoros,Projection,2049833,77,26621.20779220779,24467,27775,1147162.8773069081,1071.0568973247443,27720,-1.092738393089887,817285,77,10614.09090909091,6174,17219,11778438.320574164,3431.9729486949873,No Mode,-1.1421033392775164
Congo,Estimate,7383171,74,99772.58108108108,37989,189365,2429404237.3426495,49288.98697825559,No Mode,-1.0531279316118942,2016668,74,27252.27027027027,18663,44650,68732136.33691227,8290.48468648922,No Mode,-1.567562451479362
Congo,Projection,20942595,77,271981.75324675324,192673,304931,1096205253.8988397,33108.99052974644,No Mode,-0.38667798237307416,6981973,77,90674.97402597402,39518,164146,1358559584.315106,36858.643278274714,No Mode,-0.996365458187968
Cook Islands,Estimate,38166,74,515.7567567567568,178,835,40323.666049611194,200.80753484272245,481,-1.292864452383035,11532,74,155.83783783783784,98,360,4157.945945945947,64.48213664222013,127,2.0224046959797275
Cook Islands,Projection,7292,77,94.7012987012987,62,159,657.4753930280252,25.641282983267924,63,-0.8606694872367902,8506,77,110.46753246753246,67,141,675.9364319890644,25.998777509511182,138,-1.4658523283146994
Costa Rica,Estimate,5018366,74,67815.75675675676,41602,84209,125458487.72084409,11200.82531427234,No Mode,-0.6852557337578875,1085837,74,14673.472972972973,10030,33230,29788278.937615708,5457.863953747446,No Mode,2.0571491203535612
Costa Rica,Projection,2817130,77,36586.103896103894,24321,51253,72496289.19959004,8514.475274471706,No Mode,-1.325921699746556,4257688,77,55294.64935064935,28553,69639,174042399.99384823,13192.513027996154,No Mode,-0.9623861208389384
Cote d'Ivoire,Estimate,40692979,74,549905.1216216217,148458,997001,87676669417.14935,296102.4643888486,No Mode,-1.4874905336585882,12468052,74,168487.1891891892,91653,250381,3776297902.8404317,61451.589913039934,No Mode,-1.7356135412198004
